Content;Likes;Date;Location
We're #hiring!⠀We're looking for 3 new colleagues!⠀FOLLOW THE LINK: https://ecosia.workable.com/⠀#jobopening #rtjobs #jobsearch #jobposting;450 likes;September 2, 2017;
Part 3 of 3⠀We asked Christian Kroll, founder of Ecosia, what he envisions for our project in Indonesia in the next 5 to 10 years.⠀Watch his answer in the last part of this video interview that we made with him as soon as he came back from visiting the project.⠀Link to the video in our bio!⠀#OneTreeAtATime #Conservation #PalmOil #Indonesia #Borneo #ClimateAction #Reforestaiton #Deforestation #Ecosia #TreePlanting #Tree #Forest #Search #SocialStartup #Startup #Interview #Founder #Video;512 likes;September 1, 2017;
Part 2 of 3⠀What impressed Ecosia’s founder most from hist first visit to our project in Indonesia?⠀Find out in this second part of a video interview with Christian.⠀Link in our bio to a 2.5 minutes video!⠀#OneTreeAtATime #Conservation #PalmOil #Indonesia #Borneo #ClimateAction #Reforestaiton #Deforestation #Ecosia #TreePlanting #Tree #Forest #Search #SocialStartup #Startup #Interview #Founder #Video;511 likes;August 31, 2017;
Part 1 of 3Christian is Ecosia's founder.⠀On his first project visit ever to Indonesia this year, he drew several lessons on the complexity behind stopping Palm Oil plantations.⠀Watch a 2.5 minutes video interview with him on this subject.⠀Link in our bio!⠀#OneTreeAtATime #Conservation #PalmOil #Indonesia #Borneo #ClimateAction #Reforestaiton #Deforestation #Ecosia #TreePlanting #Tree #Forest #Search #SocialStartup #Startup #Interview #Founder #Video;480 likes;August 30, 2017;
"What is the biggest threat to #Borneo's forests? Disrekia put it very simple: #PalmOil plantations that have swiped off around 90% of #Indonesia's primary forest.⠀Disrekia is the Secretary of the indigenous-led planting project ""Gunung Lester Foundation"" that your searches are helping us support.⠀Her main message to the world? Stay optimistic, let's reverse this trend #OneTreeAtATime⠀#Reforestation #Deforestation #Trees #Tree #Climate #ClimateAction #Activist #ClimateActivist #Conservation #Green #GreenIdeas #NoPalmOil #Onebilliontrees #ClimateChange #Sustainable #Sustainability #Social #SocialStartup #Techforgood #SocialBusiness";;August 29, 2017;
Disrekia is part of the indigenous-led planting project in Borneo that your searches are helping us support. This is her take on how a tree-planting project could change everything.⠀Keep it up, Ecosians!⠀#OneTreeAtATime #Reforestation #Indonesia #Indigenous #IndigenousPeople #Forest #Tree #Trees #Green #Sustainability #ClimateAction #Borneo #Conservation #revolution #ClimateChange #Deforestation #PalmOil #FightPalmOil #GreenIdeas #Search #SearchEngine #Tech #SocialStartup;;August 25, 2017;
Disrekia was born in the forest of Borneo. It is her life mission to help both restore it and protect it. That's why she joined the Gunung Lester Foundation, an indigenous-led reforestation project that your searches on Ecosia are helping us support.⠀Keep it up, Ecosians! 🌳🌿🌞⠀#OneTreeAtATime #Reforestation #Indonesia #Indigenous #IndigenousPeople #Forest #Tree #Trees #Green #Sustainability #ClimateAction #Borneo #Conservation #revolution #ClimateChange #Deforestation #PalmOil #FightPalmOil #GreenIdeas #Search #SearchEngine #Tech #SocialStartup;;August 24, 2017;
🌳 ✊ Is it possible to empower marginalised groups through environmental projects? Our new partner, the @highatlasfoundation, did just that with a nursery in Ourika, Morocco.⠀ 'Two years ago these rural women would not have dared to be photographed,' Amina, the project's manager, told us. 'Being in charge of such a big nursery, and becoming economically more self-sufficient, has made them confident of their potential'.⠀⠀#onetreeatatime #onebilliontrees #socialbusiness #reforestation #morocco #fruittrees;543 likes;August 21, 2017;
One of the nurseries your searches are funding has left a particularly vivid mark on our minds. You can find it on the edge of the Ben Driss Youth Centre in Fez – a home to children who have dropped out of school, who have been rejected by their families, who have been in conflict with the Law, or who have fallen victim to violent crimes. ⠀We would never have thought that there could be so much joy, so much hope, in such a sad place. ⠀The nursery that The High Atlas Foundation has imagined, and that your searches have turned into reality, initiates the children into fruit tree farming. After nursing the saplings for a year, the children will donate them to local farmers. They thus integrate into a community by helping that community thrive. ⠀A nursery, it turns out, can provide so much more than trees. It can turn outcasts into full-fledged community members. To even the most vulnerable, it can give a second chance. ⠀Such successes are your successes, too. The saplings growing in our nurseries in Fez, the well that is being dug in Ourika, the apricot tree that will be planted in Ifran: they are your searches bearing fruits. ⠀#onetreeatatime #onebilliontrees #socialbusiness #reforestation #morocco #fruittrees;520 likes;August 17, 2017;
🌳 🍑 The fruit trees your searches are planting will restore the hills of northern #Morocco to their original fertility, and they will do so sustainably: fruit trees are an economically attractive alternative to goat farming, one of the main causes of the region's ecological decline.⠀After experiencing the problems caused by overgrazing, the farmers from Taroudant have largely transitioned to fruit tree farming. Today, their village is thriving, and their children are no longer leaving for the big city.⠀#onebilliontrees #socialbusiness #reforestation #morocco #fruittrees #onetreeatatime;468 likes;August 16, 2017;Morocco
🌳 The Before of the Before-After picture. These are some of our to-be nurseries surrounding the Moroccan cities of Fez, Ifran and Oujda. Together, they will yield 1.3 million fruit trees, #onetreeatatime. Thank you for making this possible 💚 #onebilliontrees #socialbusiness #reforestation #morocco #fruittrees;727 likes;August 15, 2017;
🌳🍑🍎 The green hills that used to surround the Moroccan cities of Fez, Ifran and Oujda have turned amber. The absence of the ancient forests is so real, so striking, that it’s almost a presence.But we have a plan: your searches will fund six new tree nurseries. These nurseries will yield, in a first phase, 1.3 million fruit and nut trees. Thanks to the solar-powered wells, the nurseries will be entirely self-sufficient. (Link in bio!) 💚 #treeplantingheroes #onetreeatatime #onebilliontrees #socialbusiness #reforestation;480 likes;August 14, 2017;
🌱 In Burkina Faso, entire villages are currently joining forces to prepare the bare (and incredibly firm) soil for planting. #treeplantingheroes #onetreeatatime ⠀📷 by our parnter, OZG;523 likes;August 11, 2017;
The nurseries your searches are supporting in Tanzania are mostly run by the villagers who benefit from them, making this a truly grassroots project. 🌳 #treeplantingheroes #onetreeatatime #onebilliontrees @friends_of_usambara;703 likes;August 10, 2017;
By planting trees, Ecosia aims to empower local communities to live from the forest while protecting the environment.⠀The Sugar Palm - not to be confused with the destructive Oil Palm - is a great example of that interplay between reforestation and economic development.⠀The Sugar Palm is the exact opposite of the Oil Palm tree. It thrives only in biodiverse forests with no need for fertilisers or pesticides. This way, neither farmers nor industries have any incentives to create plantations with only this type of trees.⠀One of its 60 final products is palm sugar. By selling palm sugar, locals like Dimin in the video earn an income four times higher than the Indonesian minimum wage. #OneTreeAtATime #Deforestation #PalmOil #Reforestation #Trees #Indonesia #Borneo #Alternative #Search #SocialBusiness;;August 7, 2017;
Although the rainy season has ended, our Tanzanian tree-planting partner is still producing millions of saplings successfully. Thanks to your searches, these trees will restore ancient mountain slopes, which in turn will prevent erosion, rehabilitate water cycles, and make the local climate more favorable to smallholder farmers. #onetreeatatime⠀📷 by The Friends of the Usambara Society;697 likes;August 4, 2017;
Only 2 years set these pictures apart. They were taken at the exact same site in the northern Sahel region of Burkina Faso, where your searches are helping us plant trees.⠀The first time seedlings were put into the ground on these sites was in May 2015. Given the arid weather of the Sahel, trees grow really slowly. So while these images might seem underwhelming, in reality they are an expression of the successful work between you, our partners on the ground and the local population leading the change #OneTreeAtATime⠀Thank you, Ecosians.;795 likes;August 3, 2017;
The word “#Orangutan” translates literally from Malay into “person of the forest”.⠀Indeed, Orangutans are among the most intelligent primates with social and technical abilities breathtakingly close to humans. Along with Gorillas, Chimps, Bonobos and ourselves, they belong to the greater Hominidae family tree which stretches back 14 million years.⠀Like humans, these primates are highly social animals. A female Orangutan will have one baby every 8 years, which gives her enough time to teach her offspring all the necessary skills to climb trees or distinguish the hundreds of fruits and plants that make up their diet.⠀But Orangutans are also technically very skilled. For example, they will use twigs both to scare off annoying flies but also as back scratchers. Leaf litter serves them to build highly efficient nests but also as bandages to cover wounds.⠀Despite their skills, they need our help: Every year millions of acres of forests in Borneo are burned to support #logging and #palmoil industries, destroying the Orangutan's natural habitat.⠀Only 30.000 species are left in the wild. That's why your searches on Ecosia are important. Thanks to your help we can support our tree-planting partners in Borneo that will help restore the natural habitat of this fascinating animal.⠀#OneTreeAtATime #Indonesia #Borneo #Reforestation #Deforestation #LogIndustry #Forest #Green #Sustainability #Sustainable #Animals #Apes #Primates #Tree #Trees #Humans #Development #Climate #ClimateAction #ClimateChange #Warming #EarthWarming #Optimism #Tech #Berlin;663 likes;August 2, 2017;
We’ve just returned from a field visit in #Morocco! Follow us on Twitter and Facebook to discover how your searches are turning this semi-desert landscape into a green oasis #onetreeatatime.;531 likes;August 1, 2017;
This is Christian.⠀In 2009 he founded Ecosia. Until now he has been busy building it. So it was not until this year that he got a chance to visit one of the tree-planting projects that his search engine is supporting.⠀Visiting the project in Indonesia was a very important experience for Christian. It made him understand that tree-planting is not as simple as it seems.⠀Talking to locals, sharing a house with them and planting trees himself, he understood that one also needs to take the local, geographical and social context of each project into consideration. Christian observed how weather conditions in Borneo are perfect for trees to grow fast. The problem is that big, multinational companies know this too. That’s why the Palm Oil industry took such an interest in this part of the world.⠀But how could it have been so easy for these companies to convince local farmers to sell off their lands to them? Christian realised that it’s because farmers had to sell their forestland in order to have enough income to survive. For us, this means one thing: Tree planting is not just about planting trees. It’s about creating alternative economic models so that locals can actually afford to protect their forests. By planting highly productive trees that thrive in mixed forests and can be harvested non-destructively, humans and nature both win.⠀And that’s why your searches on Ecosia are important. We thank you for making this possible.⠀#OneTreeAtATime #ChristianKroll #Reforestation #Deforestation #Indonesia #Borneo #PalmOil #FightPalmOil #NoPalmOil #SugarPalm #SocialBusiness #Development #Alternative #Indigenous #Nature #Forest #Tree #Green #Climate #ClimateAction #ClimateChange #Temperature #Founder #Tech #Startup #Berlin #Search #SearchEngine;1,492 likes;July 26, 2017;
Visiting our planting sites can be an interesting adventure. Take Indonesia, for example. Our partners in Borneo work with indigenous people from the Kayan tribe. Visiting the project here means going to the most remote forests of the island.⠀Sometimes, where a paved road would guide you from Borneo’s capital to our planting sites in only a couple of hours, the actual state of the roads increased our travel time by 8 or even 10 hours. Not to mention flooded roads during the rainy season.⠀For some team members visiting a project for the first time this was quite eye-opening. Suddenly it became clear why it sometimes takes a while to send over pictures to document the process of the project. More so as a good internet connection is often only available in the bigger cities - some 8 hours away.⠀On the other hand, the incredible achievements your searches are making possible here are completely worth the bumpy, at times muddy journeys to show you the trees.⠀Thank you, dear Ecosians.⠀#Trees #Reforestation #Deforestation #Indonesia #Borneo #OneTreeAtATime #Adventure #Journey #Jungle #Flood #Tech #SocialBusiness #Sustainable #Sustainability #Green #Search #SearchEngine #Ecosia;602 likes;July 25, 2017;
Trees update!⠀By now Ecosia is actively supporting 7 tree-planting projects and there are more to come soon. With so many projects, we thought it best to give you a summary of the most important updates from the different sites during last month.⠀Picture 1＋2 - #Burkina Faso In the Sahel region the soil has been prepared right in time before the rainy season (picture 2). Half-moon shaped pits were dug into the soil which will now serve as water reservoirs for the seeds. And that’s what the first picture shows: Locals lining up to receive the seeds of their future trees. The best part is that by planting these seeds, locals will earn an income which they can invest in improving their own lives.⠀Picture 3 - #Tanzania ⠀In Tanzania the rainy season has already started. In previous months, different tree species were grown in nurseries. Now that the trees are big enough to survive on their own, they are being transported with trucks to local villages where farmers will earn an income for planting them into the earth.⠀Picture 4 - #Morocco ⠀That’s right. Ecosia is now supporting a tree-planting project in Morocco. In the picture you see our new partners discussing where to set up Ecosia’s tree nurseries. Stay updated for more news on this project soon - Pieter, our Tree Planting Officer, is currently visiting.⠀Picture 5 - #Ethiopia ⠀Here’s another project that we have recently started supporting. Do you see those bare mountain slopes? This project will concentrate on reforesting those hill slopes with the aim of restoring entire landscapes.⠀Picture 6 - #Nicaragua ⠀Last but not least, we have also started supporting a tree-planting project in Nicaragua. Here, too, the trees are first grown in tree nurseries and then distributed to farmers around the area. Just like in Ethiopia, this project will help restore deforested mountain slopes.⠀That’s it for now, Ecosians. Thank you for making this possible with your searches!⠀#OneTreeAtATime #Trees #Reforestation #Deforestation #Seeds #NoFilterNecessary #Climate #ClimateChange #ClimateAction #Africa #South;632 likes;July 24, 2017;
The memory and wisdom of the elderly is key to convincing entire communities of the importance of planting trees. Because they remember best how much easier life was before the drought. They remember the times when forests grew healthy so that everyone - nature, animals and humans - could live with and for each-other. 🌳💚⠀#OneTreeAtATime #Reforesation #Deforestation #BurkinaFaso #Africa #Climate #ClimateAction #Green #Sustainable #Sustainability #Wisdom #Elderly #SuperGrampa #SuperGranny #Development #Sahel #Desert #Desert #Trees #Tech #Social #SocialBusiness #Search #SearchEngine;481 likes;July 21, 2017;
Where are the trees? (4/4)⠀Here are some of our latest pictures from the ground in Burkina Faso. With this project you are helping us plant trees in the semi-desertic area of the Sahel.⠀The first time seedlings were put into the ground on these sites thanks to your searches was in May 2015. Given the arid weather of the Sahel, trees grow really slowly. So while these images might seem underwhelming, in reality they are an expression of the successful work between you, our partners on the ground and the local populations leading the change #OneTreeAtATime⠀Thank you, Ecosians.⠀#Trees #Africa #BurkinaFaso #NoFilterNecessary #Forest #Sahel #Desert #Climate #ClimateAction #ClimateChange #Environment #Heat #BeatTheHeat #Dry #DrySeason #RainySeason #Search #Alternative #Ecosia #Change #Goals #OneBillionTrees #Social #StartUp #SocialBusiness;636 likes;July 20, 2017;
Where are the trees? (3/4)⠀Here are some of our latest pictures from the ground in Tanzania. This program, lead by the @friends_of_usambara society, is located around the Usambara mountain range. It aims to conserve this vulnerable eco-system through an ingenious combination of agro-forestry, eco-tourism and rainforest restoration.⠀But what makes this program special is its educational virtues: some of its nurseries are managed by primary and secondary schools. For a few hours per week, the pupils tend to the seedlings, learn about environmental protection and eventually get to take the seedlings home of their farms. Seen these trees benefit their families, is a lesson that will stay with them for life.⠀After the trees have grown for a few months in the nurseries, they are then transported with trucks to the sites where farmers plant them into the earth.⠀#OneTreeAtATime #Tansania #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #ClimateChange #Forest #NoFilterNecessary #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;646 likes;July 19, 2017;
Where are the trees? (2/4)⠀Here are some of our latest pictures from the ground in Madagascar. With our partners The Eden Reforestation Projects we are helping reforest two different landscape areas - deciduous forests in the midlands and mangrove forests on the western coast. Accordingly, both the planting method and the pace of growth of the trees are different.Because the midlands have a drier climate (pictures 1 and 2), young tree seedlings first need to be grown in a nursery for a few months. During their first rainy season between January and February, the trees are then planted into the earth.⠀Planting mangroves (picture 3), on the other hand, is relatively easy. In their natural process, once a Mangrove tree has grown big enough, it will simply drop its propagules in the form of sports. To recover a Mangrove forest one just needs to drop the dart-like seed capsules into the soil. With gravity on our side and the moister weather conditions on that part of the island, these trees tend to grow at a faster path.⠀#OneTreeAtATime #Madagascar #Africa #Reforestation #Trees #Deforestation #Mangroves #MangroveTree #Mangrove #Deciduous #Climate #ClimateAction #ClimateChange #Environment #Forest #NoFilterNecessary #OneBillionTrees #Goals #Sustainable #Alternative #SearchEngine;609 likes;July 18, 2017;
Where are the trees? (1/4)⠀Here are some of our latest pictures from the ground in Borneo, Indonesia. With this project we are helping villages surrounding the precious Mount Saran to create an economic alternative to the widespread palm oil industry.⠀Unlike other, drier areas of the world - like Burkina Faso, for example - the weather conditions in Indonesia are ideal for trees to grow fast. While we only started supporting this tree-planting project a couple of months ago, the trees planted here through your searches (the smaller ones in the pictures) are already growing!⠀#OneTreeAtATime #Trees #Indonesia #NoFilterNecessary #PalmOil #ClimateAction #Reforestation #Deforestation #Borneo #ClimateChange #Environment #Green #Sustainable #Alternative #SearchEngine #Ecosia #OneBillionTrees #LifeGoals #Goals #Transparency;774 likes;July 17, 2017;
Around 80% of Madagascar’s species in flora and fauna are found nowhere else on earth. Unfortunately, most of these species are at risk of extinction, due mainly to deforestation.⠀In our last chapter this week to showcase animal species at the brink of extinction in Madagascar, we present to you the flat-tailed spider tortoise.⠀Its name comes from their particular upper-shell and tail which are outstandingly flatter than that of the common tortoise. When they’re not busy resting during a stage similar to hibernation known as aestivation, these friendly little animals take shelter among the leaf litter from dry deciduous forests in the northwest region of Madagascar.⠀Fortunately, your searches are helping us reforest this area of the world, which will hopefully help us stop the extinction of this unique tortoise.⠀#Trees #Reforestation #Extinction #Species #Eagle #Bird #Birds #Madagascar #Africa #Deforestation #OneTreeAtATime #OneBillionTrees⠀Picture source: http://ecosia.co/wikimedia;750 likes;July 14, 2017;
Around 80% of Madagascar’s species in flora and fauna are found nowhere else on earth. Unfortunately, most of these species are at risk of extinction, due mainly to deforestation.⠀Lemurs are no exception. Madagascar is their only home. Since humans began populating this island, 15 species have already gone extinct.⠀The Blue-Eye Black lemur is a unique genera of this species. What makes it so special is its deep blue eyes one could get lost in for hours. No other primate - other than humans - is known to have consistently blue eyes.⠀Unfortunately, along half of all lemur species, the Blue-Eye Black type is also endangered. But thanks to your searches we are trying to stop this trend. By reforesting their habitat, we hope species like this beautiful blue-eyed primate will be able to survive.⠀#Reforestation #Trees #TreePlanting #Lemur #Lemurs #Sustainable #Sustainability #Madagascar #Africa #OneTreeAtATime #OneBillionTrees⠀Picture by Charlie Marshall⠀Source: http://ecosia.co/MarshallFlickr;623 likes;July 13, 2017;
Around 80% of Madagascar’s species in flora and fauna are found nowhere else on earth. Unfortunately, most of these species are at risk of extinction, due mainly to deforestation.⠀Small and large birds are equally affected by the loss of their habitat through deforestation. A good and tragic example is that of the Madagascan fish or sea-eagle in the picture.⠀These birds are endemic to the northwest part of Madagascar, particularly within dry deciduous forests. Fortunately, thanks to your searches, we are helping reforest this part of the world, hoping to give animal species like the Madagascan sea-eagle back their home.⠀#Trees #Reforestation #Extinction #Species #Eagle #Bird #Birds #Madagascar #Africa #Deforestation #OneTreeAtATime #OneBillionTrees⠀Picture by Frank Vassen⠀Source: http://ecosia.co/FrankVassenFlickr;549 likes;July 12, 2017;
Around 80% of Madagascar’s species in flora and fauna are found nowhere else on earth. Unfortunately, most of these species are at risk of extinction, due mainly to deforestation.⠀Lemurs are no exception. Madagascar is their only home. Since humans began populating this island, 15 species have already gone extinct.⠀Sifakas are a genus of lemur and, just as half of all lemur genera, they are listed as endangered. Sifakas have a long tail that helps them maintain their balance as they elegantly leap from one tree to the next. On the ground, Sifakas hop around with slightly less grace. We were lucky to see them doing so when we visited our partners in Madagascar.⠀Thanks to your searches on Ecosia, we are now helping reforest Madagascar to give these fascinating animals their home back..#Trees #OneTreeAtATime #Madagascar #reforestation #endangeredspecies #lemurs #kingjulian #tech #search #green #sustainability #sustainable #mahajanga;;July 11, 2017;
"Why trees? We asked those who plant them. 🌳⠀⠀⠀(5/5) ""When I teach children the importance of trees, I bring them under the shade of a tree and ask: Do you feel it? Do you feel that it’s much cooler here than in the sun?"" – Sawadogo, Burkina Faso⠀⠀⠀#OneTreeAtATime #1BillionTrees #Reforestation #ClimateAction";387 likes;July 7, 2017;
"Why trees? We asked those who plant them. 🌳⠀⠀⠀(4/5) ""Trees are the best way to capture carbon and mitigate climate change."" – Halidi, Tanzania⠀⠀⠀#OneTreeAtATime #1BillionTrees #Reforestation #ClimateAction";355 likes;July 6, 2017;
"Why trees? We asked those who plant them. 🌳⠀⠀⠀(3/5) ""What I like about trees is that when they grow bigger they will restore our ancestral lands."" Somanet, Madagascar⠀⠀⠀#OneTreeAtATime #1BillionTrees #Reforestation #ClimateAction";473 likes;July 5, 2017;
"Why trees? We asked those who plant them. 🌳⠀⠀⠀(2/5) ""Planting trees allows me to earn an income and provide for my family."" – Alex, Indonesia⠀⠀⠀#OneTreeAtATime #1BillionTrees #Reforestation #ClimateAction";453 likes;July 4, 2017;
"Why trees? We asked those who plant them. 🌳⠀⠀⠀(1/5) ""Without trees, this place would turn into a desert"" – Shashima, Tanzania⠀⠀⠀#OneTreeAtATime #1BillionTrees #Reforestation #ClimateAction";523 likes;July 3, 2017;
Today Ecosia reached the impressive number of 10 million planted trees.⠀⠀Your searches are helping us support 25,000 farmers on the ground, restore 20,000 hectares of land and plant 170 different tree species worldwide.⠀⠀None of this would have been possible without you. Together, we are changing the world #OneTreeAtATime⠀⠀Thank you, Ecosians.⠀⠀#1billiontrees #goals #treeplanting #reforestation #deforestation #climatechange #ClimateAction #Sustainability #Search #SearchEngine #TechForGood #Tech #Green #Sustainable #BurkinaFaso #Indonesia #Peru #Tanzania #Madagascar #Africa;;June 29, 2017;
This soap is made from the rainforest. It is also a perfect example of how benefitting from the forest can go hand-in-hand with protecting it.⠀⠀⠀How so? The soap’s main ingredient – the Tenkawang nut – allows the local population to produce a great variety of valuable products (such as biofuel) which they can sell on and off their island. They produce these goods in the Tenkawang factory, a zero-waste workshop built by the Masarang foundation, our partner on the ground. Because the Tenkawang trees grow best in mixed forests, biodiversity comes as a built-in benefit! #onetreeatatime #onebilliontrees #borneo #reforestation #climateaction;401 likes;June 27, 2017;
"🌳 Our tree planting partner from Madagascar has just sent us this inspiring message: ""The large mangrove trees stump (Avicennia marina) shown in the foreground was found on the project site at Mahajunga Estuary. This is one of several sites where Eden and Ecosia are partnered to restore lost forest. The size of the stump shows what once was. Before we allow despair to get ahold of our hearts, we need to celebrate all the young mangrove saplings in the background. These young trees show the promise of new growth. Working as a team with Ecosia, Eden's village planters have already planted hundreds of thousands of new trees. Before the close of 2017 hundreds of thousands more will be added. In just a few years this large project site will be completely replanted. While we regret the loss of what once was, there are scores of additional sites waiting to be reforested. Now imagine in the next ten years all of Mahajunga Estuary brought back to life. Carpe diem. Let’s seize the day and accomplish extraordinary things!""";662 likes;June 26, 2017;
The dice have been thrown & these fluffy monkeys (excluding Fátima) will be shipped to @clarymeetstheworld, @danwonteatyou, @juanmaperezh, @ethicallyengaged, and @mandarinajau! 🎉 Congrats to the winners, and thanks to everyone who took part in our first giveaway. 🎁 And thank you, Ecosians, for protecting real orang-utans through your web searches 💚 🐒 #orangutan #palmoil #giveaway #onetreeatatime #onebilliontrees;553 likes;June 16, 2017;Berlin - Kreuzberg
Around 25,500 people are currently planting trees with Ecosia through the projects that we support around the world. We wanted to put ourselves in their shoes.In Indonesia we accompanied a farmer, Rupinos, into the forest to collect tree saplings. We then transported these to his field and helped him plant them into the earth. 🍃🌳☀ #Trees #TreePlanting #SugarPalm #PalmOil #Reforestation #Deforestation #Borneo #Indonesia #Rubber #Green #Sustainability #Sustainable #Energy #OneTreeAtATime #Empowerment #Development #Nature #Farmers #Indigenous #hotspot #Biodiversity;671 likes;June 15, 2017;
We love you. So we got you this gift 💚⠀⠀These fluffy apes are hand-crafted by a group of mothers we met on our trip to Ecosia's reforestation project in Indonesia. The revenue from selling these plush animals goes to the Sintang Orangutan Rescue Centre, where real (but equally fluffy) apes are rescued, cared for, and eventually released back into the rainforest.⠀⠀Wherever you live, you can #win one of these cuddly apes by (1) following @ecosiaorg on Instagram, (2) liking this picture and (3) tagging three friends in the comments. Easy! The five lucky winners will be randomly selected and announced on Friday. Good luck, little monkeys! 🐒⠀⠀#Giveaway #Aroundtheworld #Restoration #ClimateAction #Indonesia #Free #Gift;1,390 likes;June 12, 2017;
“In 10 years I hope this area will be even more green and the temperature will go down” - Ade from Indonesia#Reforestation #TreePlanting #Trees #ClimateAction #ParisAgreement #ClimateChange #Environment #Empowerment #Indonesia #Borneo;609 likes;June 8, 2017;
"""If we cut down the forest, that's the end of the culture of the indigenous people, the end of our future""On our trip to Indonesia we've met Dis, short for Disrekia. She works for Gunung Lester Foundation the NGO fighting back the #PalmOil industry in Borneo. Thanks to your searches Ecosia is now helping finance their tree planting project.";450 likes;June 7, 2017;
Few people have the power of mobilising entire villages to join the fight against powerful forces such as the #PalmOil Industry.⠀⠀Meet Piet. He’s the leader of Gunung Lester Foundation, an NGO created by local villages on the foothills of Mount Saran. Together they are fighting back against the Palm Oil industry responsible for the loss of 20% of Indonesia’s original forest cover.⠀⠀Under his leadership and thanks to the revenue that your searches are helping us provide, farmers have already started planting trees in their villages. These trees will help both protect the environment and earn them a sustainable, growing income.;458 likes;June 2, 2017;
She was too shy to tell us her name, we have to assume it was Angel ❤ 🌳;431 likes;June 1, 2017;
Indonesia has lost 20% of its forest cover in two decades as great tracts of forestland are routinely burned down to make space for palm oil plantations. Here, at the foothills of Mount Saran in Borneo, twelve indigenous villages are fighting back.⠀⠀A little while ago local villages founded the Gunung Saran Lester Foundation with the aim of empowering farmers to earn a living by planting trees. With the help of the revenue that your searches generate, Ecosia is financing farmers who have already started planting productive trees all around their villages.⠀⠀Part of the Ecosia team has travelled to these remote villages not only to keep our word of being transparent - we want to show you the trees! - but also to better understand both the threats and opportunities that we will encounter in this part of the world that your searches are helping us reforest.⠀⠀On our journey to reforest the planet we count on the help of many: the local populations as well as all Ecosia users. But it’s also the little things that help us on the way. For example, we need to carry around a lot of camera equipment on our trips. Fellow good-doers @ethnotek_germany gave us this backpack for free when we asked them for some advice on how to get all our equipment to the Indonesian rainforest. So we thought it would only be fair to mention them here to return the favour.⠀⠀Stay tuned in the next days for more updates on our trip to Indonesia. Thank you, Ecosians!⠀⠀#vivaconagua #reforestation #deforestation #orangutan #borneo #forest #primaryforest #climate #climatechange #empowerment #development #environment;646 likes;May 31, 2017;
In Tanzania, entire villages are joining our reforestation efforts. 🌳🌍 It's wonderful to see how several generations are coming together to plant trees. 💚⠀⠀Photos by our local tree-planting partner, @friends_of_usambara 📷⠀⠀⠀#Grassroots #Intergenerational #Aroundtheworld #NGO #Restoration #ClimateAction #Tanzania #Landscape;675 likes;May 30, 2017;Usambara Mountains
Some of the trees your searches help us plant start their life in this Tanzanian nursery 🌱⠀⠀⠀#Aroundtheworld #NGO #Restoration #ClimateAction #Tanzania;1,275 likes;May 29, 2017;
Our partners from Tanzania don't just plant trees. They also tend to the seedlings of their communities by building schools in rural areas.⠀⠀⠀#Aroundtheworld #NGO #Restoration #ClimateAction #Tanzania;470 likes;May 26, 2017;
"""My village's water source depends on the forest. That's why I plant trees."" #Aroundtheworld #Restoration #ClimateAction #Tanzania #Reforestation";443 likes;May 24, 2017;Usambara Mountains
Agroforestry (growing trees on one's farm) promotes reliable harvests 🌽 fertile soils 🌾👌 and cleaner water 💧#Reforestation #Africa #Tanzania #Rainforest #AfricanRainforest #Sustainability #Instapassport #Arountheworld #ClimateChange #ClimateAction #Landscapes #Restoration;777 likes;May 23, 2017;Usambara Mountains
Coming together to plant trees along the road is the best way to prevent soil erosion and floods 🌳💦🌱 ⠀📷 taken in Kumbago, a farmer’s village in the Tanzanian Highlands 🌍 ⠀#Reforestation #Africa #Tanzania #Rainforest #AfricanRainforest #Sustainability #Travel #Instatravel #Travelgram #Instapassport #Traveldeeper #Arountheworld #ClimateChange#ClimateAction #Landscapes #Restoration;830 likes;May 22, 2017;
"""I'm not planting trees for myself, but for the next generation.""⠀⠀⠀#Reforestation #Africa #Tanzania #Usambara #Rainforest #AfricanRainforest #Sustainability #ClimateChange #ClimateAction #Landscapes #Restoration";625 likes;May 18, 2017;Usambara Mountains
Can you believe that these tiny saplings will one day be a forest? From our nursery in Tanzania 🌱⠀⠀⠀#Reforestation #Africa #Tanzania #Usambara #Rainforest #AfricanRainforest #Sustainability #ClimateChange #ClimateAction #Landscapes #Restoration;1,280 likes;May 17, 2017;
"""When I plant a tree on my farm, I feel very well. Because I know it will help my family later."" – Issa, Tanzania#Reforestation #Africa #Tanzania #Usambara #Rainforest #AfricanRainforest #Sustainability #ClimateChange #ClimateAction #Landscapes #Restoration";595 likes;May 16, 2017;Usambara Mountains
Your searches are restoring this mountaintop in Tanzania. Thank you, Ecosians 💚#Reforestation #Africa #Tanzania #Usambara #Rainforest #AfricanRainforest #Sustainability #ClimateChange #ClimateAction #Landscapes #Restoration;953 likes;May 15, 2017;Usambara Mountains
Just in! Fresh photos by our tree planting heroes from Madagascar. 🌴Seeing this progress makes us really happy! Thank you, Ecosians, for making it possible 💚#climateaction #restoration #reforestation #landscapes #trees #sustainability #climatechange #rainforest #tanzania #africanrainforest #nature #photooftheday #instagood;971 likes;May 12, 2017;
